stage,policy,cost,arm,period,arm_model_available,blocked.awaiting_strict_quality_return,blocked.causal_unavailable,blocked.filter_rejected,blocked.no_primary_signal,blocked.occupied_or_unresolved,capital_breach,cash,commission,conclusive_equity,conclusive_pnl,conclusive_unrealized,conditional_funding,conditional_scenario_not_lower_bound,counts.entries,counts.entry_cancelled_quality,counts.entry_expired,counts.exits,counts.integrity_events,counts.opportunities,counts.opportunity_causal_unavailable,counts.opportunity_model_unavailable,counts.p1_adverse_liquidation,counts.pending_entries,counts.stop,counts.take_profit,counts.unresolved_at_end,counts.unresolved_events,drawdown_fraction_initial,entries,exits,funding_if_still_open,funding_recorded,known_cash,last_known_equity,mark_count,mark_missing,max_dollar_drawdown,model_available,net_return,open_exposure_ms,opportunities,peak_notional,potential_exposure_unknown,profit_claim,realized_pnl,realized_recorded,recorded_cashflow,scenario_equity,scenario_pnl,scenario_unrealized,slippage_attribution_only,state,turnover_eur,turnover_usd,wall_exposure_ms
development,P1,S1,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S1,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P1,S2,primary,TOTAL,True,96,59912,,91422,125326,False,25182863634934522985657/2920000000000000000,13447/25,,,,,True,3842,89,233,3842,9028,280920,154044,0,1085,4164,2371,386,0,1085,,,,0,14210557/365000,499979/50,49998/5,8572072,2,,,,7601809136,,22097/20,False,False,-31956743959801054991/40000000000000000,,,25182863634934522985657/2920000000000000000,-4017136365065477014343/2920000000000000000,0,3649/10,ENDED,7684000,331061447996725231544189/40000000000000000,11234209136
development,P1,S2,primary,2023Q2,,,28473,,63846,1279,False,,7/25,,,,0,,,,,,,,,,,,,,,,,2,2,,13649/45625,,,,,,True,,76747440,93600,,,,,-119/50,-270023/91250,,-270023/91250,,1/5,,4000,109138/25,249547440
development,P1,S2,primary,2023Q3,,53,20666,,22961,48251,False,,21049/100,,,,0,,,,,,,,,,,,,,,,,1504,1503,,582943/36500,,,,,,True,,2926779634,93600,,,,,-12005057907180676251/40000000000000000,-1537635467224189366323/2920000000000000000,,-1534014667224189366323/2920000000000000000,,716/5,,3007000,207881072774304736959/64000000000000,4406379634
development,P1,S2,primary,2023Q4,,43,10773,,4615,75796,False,,32711/100,,,,0,,,,,,,,,,,,,,,,,2336,2337,,1654387/73000,,,,,,True,,4598282062,93720,,,,,-992824302631018937/2000000000000000,-123543008092064382401/146000000000000000,,-123724048092064382401/146000000000000000,,443/2,,4673000,100480578356392385472407/20000000000000000,6578282062
development,P1,S2,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S2,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S2,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S2,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
