stage,policy,cost,arm,period,arm_model_available,blocked.awaiting_strict_quality_return,blocked.causal_unavailable,blocked.filter_rejected,blocked.no_primary_signal,blocked.occupied_or_unresolved,capital_breach,cash,commission,conclusive_equity,conclusive_pnl,conclusive_unrealized,conditional_funding,conditional_scenario_not_lower_bound,counts.entries,counts.entry_cancelled_quality,counts.entry_expired,counts.exits,counts.integrity_events,counts.opportunities,counts.opportunity_causal_unavailable,counts.opportunity_model_unavailable,counts.p1_adverse_liquidation,counts.pending_entries,counts.stop,counts.take_profit,counts.unresolved_at_end,counts.unresolved_events,drawdown_fraction_initial,entries,exits,funding_if_still_open,funding_recorded,known_cash,last_known_equity,mark_count,mark_missing,max_dollar_drawdown,model_available,net_return,open_exposure_ms,opportunities,peak_notional,potential_exposure_unknown,profit_claim,realized_pnl,realized_recorded,recorded_cashflow,scenario_equity,scenario_pnl,scenario_unrealized,slippage_attribution_only,state,turnover_eur,turnover_usd,wall_exposure_ms
development,P1,S0,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S0,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S0,filtered,2023Q3,,335,20666,48921,23678,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
development,P1,S0,filtered,2023Q4,,307,10786,77282,5345,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93720,,,,,0,0,,0,,0,,0,0,0
development,P1,S1,primary,TOTAL,True,90,59911,,91402,125931,False,13649642073459225258559/1460000000000000000,231,,,,,True,3300,77,209,3300,9028,280920,154044,0,1111,3586,1785,404,0,1111,,,,0,14321443/730000,399989/40,399989/40,8594127,2,,,,7631366283,,110481/100,False,False,-8006233432065407417/20000000000000000,,,13649642073459225258559/1460000000000000000,-950357926540774741441/1460000000000000000,0,1549/25,ENDED,6600000,142141277935723639787919/20000000000000000,11436566283
development,P1,S1,primary,2023Q2,,,28473,,63846,1279,False,,7/50,,,,0,,,,,,,,,,,,,,,,,2,2,,54597/365000,,,,,,True,,76737146,93600,,,,,-58/25,-952497/365000,,-952497/365000,,1/25,,4000,218277/50,249537146
development,P1,S1,primary,2023Q3,,50,20666,,22954,48460,False,,18627/200,,,,0,,,,,,,,,,,,,,,,,1331,1330,,5829351/730000,,,,,,True,,2937629447,93600,,,,,-3336784465560230463/20000000000000000,-391221067985896823799/1460000000000000000,,-389352267985896823799/1460000000000000000,,628/25,,2661000,57454440468005405449427/20000000000000000,4417229447
development,P1,S1,primary,2023Q4,,40,10772,,4602,76192,False,,5509/40,,,,0,,,,,,,,,,,,,,,,,1967,1968,,4191449/365000,,,,,,True,,4616999690,93720,,,,,-2311524483252588477/10000000000000000,-277663435277438958821/730000000000000000,,-278597835277438958821/730000000000000000,,184/5,,3935000,21149881666929558584623/5000000000000000,6769799690
development,P1,S1,filtered,TOTAL,True,656,59925,126220,94119,,False,10000,0,10000,0,0,,True,,,,,9028,280920,154044,0,,,,,0,,0,,,0,0,10000,10000,0,0,0,,0,0,,0,False,False,0,,,10000,0,0,0,ENDED,0,0,0
development,P1,S1,filtered,2023Q2,,14,28473,17,65096,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
