fold,phase,population,row_type,scheme,master_seed,member,status,coverage_open_minutes,distinct_ids,effective_sample_size_claim,max_concurrency,mean_active_concurrency,raw_mean_uniqueness,raw_uniqueness_max,raw_uniqueness_min,repetitions,fit_status,fit_reason,fit_contract_sha256,sampling_contract_sha256,derived_seed,draw_count,training_candidates,draws_sha256,probabilities_sha256,probability_bytes,sampling_seconds,tree_queries,max_query_levels,max_multiplicity
2023Q2,inner,0.0005,member_sampling,uniform,1,1,available,74995.0,509,False,4,1.292019467964531,0.8493709309109834,1.0,0.25,3,succeeded,,9d854dfe7785a87cc2630622f26122b4a203a97f42dcd1e33a5d2e9a600a70f4,af1d94749aa209e0bd29952aab44a615019d30cfe28b071ac51ab04533297e48,297150553666687752825234908252517516958,512,28987,fa8861922781cef418fb4369c77b28da1e51d383163c16d6ea1cde4518e6dd89,,0,0.07788958298624493,0,0,2
2023Q2,inner,0.0005,member_sampling,uniform,1,2,available,96397.0,509,False,4,1.2377148666452276,0.8394387698212955,1.0,0.25,3,succeeded,,ddc4b810fff90f8a1c4ebdaf2478279c99843135fb80ff42d62fcaf1c7ee660e,9d5d85cd08a7857fb5b1017f54a274b9d002597b46ee85eda0e255f7ba86d8b3,47187961543657409158187589707970690976,512,28987,7f1e71013cc533ae7227ab4303309fbab30798ee241a175db9291262eaa8a0fc,,0,0.07863012500456534,0,0,2
2023Q2,inner,0.001,full_population,all_events_once,,,available,302792.0,10297,False,50,7.353747787259901,0.21848084880410093,1.0,0.021908901225631137,0,,,,,,,,,,,,,,
2023Q2,inner,0.001,member_sampling,sequential,0,0,available,81261.0,505,False,4,1.1507242096454633,0.8802397352250613,1.0,0.25,7,succeeded,,058f22e6415288113d40617298fbed47574e219d9ef183d59d083c977ba0ad53,db4ba9cf84617e84e391cb17332d1598f85fd5cc5e4b2cc1e9c18939500e2ac4,97741642953225004998900041979201028988,512,10297,aca405fb608c7234b5355b0555b41239f8f88b8eabcde2ee8ced14c009f6f7b2,02e159afd6b1b086fcd0a7ccbf921ef01ba775132eee0aa323faf2866165881c,42176512,1.629919750004774,5272064,8,2
2023Q2,inner,0.001,member_sampling,sequential,0,1,available,91367.0,506,False,4,1.213195136099467,0.8647366651832702,1.0,0.33205128205128204,6,succeeded,,8c1faefb0d70c9e395a6550db22f37b5715e770cd1fe6d47d6b989e19ef0a312,45a1c63a2d27ca86475f60f292bbe531095590298aa8d7a965c96310a4526a4d,104451319175691052594417778918703917016,512,10297,e3990bcfbd4c2275f230d4468cfab5e1d501fd9d03fb6e787de2a8a32648b1a6,275d44c3d547d831d48d0efac89ba23642cc53224fdba2f74a14e2b0eb082ab1,42176512,1.579410459002247,5272064,8,2
2023Q2,inner,0.001,member_sampling,sequential,0,2,available,85910.0,502,False,4,1.2003841229193342,0.8762487738249896,1.0,0.28267973856209155,10,succeeded,,5eff57f05d303a068019935a3a66c04ff4a98ebe7701663f0d136dac677c1eb2,653f6877b86221bb76a367c5af75bcd63937f81310d9a0404a6ea63976af9663,24125009283505553467305104437586872515,512,10297,38dc941612a748868af252a5abf3c3b67e1ade73d03ca5c4d307760fc49b42d7,cc0669ea9fa8f8e9310be238960eaa6c1927cc80a8361bad275492fab16424da,42176512,1.5997447920090053,5272064,8,2
2023Q2,inner,0.001,member_sampling,sequential,1,0,available,82378.0,503,False,4,1.1705431061691227,0.8670682359261572,1.0,0.25,9,succeeded,,6da7cf1aa646cc77ce97a829356200f43a27b9ede56c2e1f3cef2f1ca865198e,3776936305c37f785564909efbb202f74fd9dde2f4773865126282b8c801cb8c,321924476749096206536661531618784283959,512,10297,4134a996dd398259de207bb13677140162f844d896c491f21b1b4612ea37e5b0,0cbc44db1f45b614101bdae9d48637e38ce8bcf0ff94466add8aef22ad10ce13,42176512,1.5863880419929046,5272064,8,2
2023Q2,inner,0.001,member_sampling,sequential,1,1,available,94004.0,507,False,4,1.220469341730139,0.8688927021507976,1.0,0.25,5,succeeded,,7fa7f5b6bcddef3c896b589e2702a56f37c4638668ac1c3e3c8b80c3897b0e49,96569ddf6a34d040424e5a4bdf401a3b9f8c0e1dc35aa6a251812e68716b2a1b,19258464340767965935994404305536248310,512,10297,6a68f6f6377a4ca3e3f1ea11915bbbbd466f1b75e6f86f33b6c15cdadc0185a8,970ca9d9f6e9f6e4ddaa9c59b223caa5fb4d0080f120f591dc3cb7c7f80c6374,42176512,1.5607317500107456,5272064,8,2
2023Q2,inner,0.001,member_sampling,sequential,1,2,available,86668.0,503,False,4,1.1806895278534177,0.8700751315899145,1.0,0.25,9,succeeded,,9b8933b3f878118a282c4dc5238cc20ee639e2331b3fcbf3e798d248f38e5dc8,a0229779e4ebfaf3c91ed9fe75f8da77340df751e372b1386c5d0283e1c168de,152123197777215999050335908959577353007,512,10297,b707b515e1f458e762cf725946304996dedd9b5df2de8cae754355a582e22d25,cfc4c93d6f4aca3e2e84d595291fb1f97d24d8fa5825679ac7ba0e8dc8c371ff,42176512,1.559605833987007,5272064,8,2
2023Q2,inner,0.001,member_sampling,uniform,0,0,available,81087.0,497,False,6,1.286346763352942,0.8224359679035801,1.0,0.21231060606060606,15,succeeded,,fb058652acfc08a863c8c0f6c818ea048c7863a3ec650333c67eddcf4423cfe9,da459a52802112c59ae46f69663d59ade07715bafad92714fdd4ee35ba237e60,97741642953225004998900041979201028988,512,10297,4f8c1fa58ce44cce84fe1888f518efe0f9097f24cf0ce7e8090ce7c153e406f8,,0,0.028627417021198198,0,0,2
2023Q2,inner,0.001,member_sampling,uniform,0,1,available,85190.0,502,False,5,1.1967249677192158,0.8615258053821466,1.0,0.24526627218934913,10,succeeded,,b3748e130e3d7313b7c9d030f97eb18a89f5b4dc27df544f609123846051ac64,53dad25cdb20b52446e835121cb114f6b43e18feeae78c63a1fafaebf9b6df1d,104451319175691052594417778918703917016,512,10297,02d7c2077f9e1e22e9bc62211188663b12168e38a6176e2bec9465cabcb9c136,,0,0.0283476670156233,0,0,2
2023Q2,inner,0.001,member_sampling,uniform,0,2,available,94296.0,501,False,6,1.4483859336557223,0.7992790510531225,1.0,0.16666666666666669,11,succeeded,,ecbeb5d72ca24152ca3e38a72f20a2a95cd8f41cf742df2f04e348c85e46cfee,97ce9e2bc1a72c739cc6d2ddc06bf7dbc347d05b65530195d600945c2e7e8618,24125009283505553467305104437586872515,512,10297,1e7aad1262bd8a930b07296eef35afe6d746067d4bb4d0a7d41be2510a529e45,,0,0.02860416698968038,0,0,3
2023Q2,inner,0.001,member_sampling,uniform,1,0,available,86362.0,499,False,5,1.2493689354114077,0.854735014722322,1.0,0.24615384615384614,13,succeeded,,bd1191d9e14fcc2592b2801edf9ccf7b7c477d9df1e8e2e3b6da492466d5a652,e13a97f1fb9625e91c25026ff4a9e6bb203dc4e9a678f6cc2a4bc76ac43e9f18,321924476749096206536661531618784283959,512,10297,da69defe2e33a6499453b6c12cc4944cf0a7998511753b98008078225a55d943,,0,0.03065616698586382,0,0,2
2023Q2,inner,0.001,member_sampling,uniform,1,1,available,85254.0,504,False,4,1.3441363455087152,0.8268223868385285,1.0,0.25,8,succeeded,,d65dbef2044d3c11879aba4a518df4afab787436b81885c347b42a90371b021a,1436e5e19fb30cb77897d46175d63f92c9f8d11efcc1153db117db230af982f9,19258464340767965935994404305536248310,512,10297,7ef97fae7a57778177f83eb08eeb5bca3e4ddec71329dbd0e43729e8bf3a68a8,,0,0.02970587500021793,0,0,2
2023Q2,inner,0.001,member_sampling,uniform,1,2,available,75071.0,500,False,6,1.218579744508532,0.8487277205752001,1.0,0.1995698924731183,12,succeeded,,649c26be1a0e28e7b9cefcbff905c75e31553ed8471c7e752ad91f6ef36a0885,9f7e9c34d36baf657c7c7fd49239d6b1abc41d5dc4c72696d5e90745261b5e04,152123197777215999050335908959577353007,512,10297,6e457ab6b3c1d76d142142093b9464316af63778bbf326aa8b28d0d00fff2dec,,0,0.030432458996074274,0,0,2
2023Q2,inner,temporal,full_population,all_events_once,,,available,313828.0,303616,False,650,166.21634780835362,0.008853046302043076,1.0,0.0015408344881037914,0,,,,,,,,,,,,,,
2023Q2,inner,temporal,member_sampling,sequential,0,0,available,87955.0,512,False,3,1.2130293900289921,0.8743870640989979,1.0,0.33333333333333326,0,succeeded,,43ff49dcf4e9de2c8140082e2dd9a510b4d6da1adf140459cd1d3971c7cacb83,b8f1544ba615f88d6f2a155a07e8dc50817498a09eaf7efa5b4af7659b6b1b15,6424617018973974478003437823121820848,512,303616,fff7592816f8b8e8fb90a5f7e3893f7a689586527220e30942b9ef7bc143c0c4,38446343df6860c96eda1957ef7a117e2eb3c697f8be91d731c88867df8e1ab8,1243611136,48.34585208399221,155451392,13,1
2023Q2,inner,temporal,member_sampling,sequential,0,1,available,82836.0,512,False,4,1.1076947221015017,0.8896270036953919,1.0,0.2847222222222222,0,succeeded,,07931c94efd6c9b1a8bd5ce026ff3a1755d2ce54965539c31fad18a4d2e11922,3d29ae79ddcb8343dcac7285a994d232ef3ccce8a7c49cd7c349b34acd8153b2,155871206599919401843402507629154991981,512,303616,8d704ba97829ea74f1713a9d011a0307b85334418bea97484a7e596d26135e64,6e38319c5c66ec105be9f9e7a097643b0c4a09319f783cb948bc51551b4d02a7,1243611136,48.3772421250178,155451392,13,1
2023Q2,inner,temporal,member_sampling,sequential,0,2,available,89317.0,512,False,3,1.1993685412631414,0.8862070175170432,1.0,0.3333333333333333,0,succeeded,,1eac4bc76ed058d407fc8b737e24ef2d798b724efc79967426d01a1e7bead8ea,46713d36df0998476b1cc597f22c1a641d43906c81f8f03aebcc8b8565b25515,313064949957124242663464020055636444451,512,303616,17b24faf6b22e5223b031fdbcb83e14fd0c23816ae86bb6beff01d1d2fb5e967,31a7f141e4e38f26e3f850eae3a226bcb9f8aeabd2d481e09d01022b5b0f7481,1243611136,50.07971362498938,155451392,13,1
2023Q2,inner,temporal,member_sampling,sequential,1,0,available,89896.0,512,False,3,1.1734337456616535,0.8832089672625256,1.0,0.33333333333333326,0,succeeded,,62133fa9b33a8d770b1f28148d715537e96c4882ddbd2974e98d23db1d0bfd07,23de9046c3480302133f5b5764f5632d9e246335950894c444901f1a92ee8615,239891652895338940676644091762558322739,512,303616,c1eb91221dc4bda5ed45d1e2fc4fa2227af90d116cfba9ae0d3e12e6868bc7f0,8176e5b5301ae84c94981b5cc9669daca227c748a259ca6b7d421a5f0cbe841f,1243611136,49.36609200001112,155451392,13,1
2023Q2,inner,temporal,member_sampling,sequential,1,1,available,73053.0,512,False,4,1.1673853229846824,0.8986261732421563,1.0,0.25,0,succeeded,,7186c117aa88bd3052ec45f6a47ccaccbd5c795f2e8dad1ea0263237203e9d16,8eb78545a92945fb868d97f170e568893a10effd8ea0050dcb5c360cd0ef237d,91111525464852356240956541171470437182,512,303616,3f7412f929105251291eeb48c2cb221f358caa8e6f9b8c1487c893c49b069ee3,fbce22e98a44f7890879c21f48355552a9275bf743d48bb4483ce532e3abbabd,1243611136,49.41137324998272,155451392,13,1
2023Q2,inner,temporal,member_sampling,sequential,1,2,available,75000.0,511,False,4,1.1324933333333334,0.8961713968340319,1.0,0.30994152046783624,1,succeeded,,492ce186162d71ff3f11a51ace1e5f3c8c7e65f9b1b9aa8deaa87796cf1af7c9,ec0f1de313c6ca0dbe39ec80ae730ddd00915bb809b5a880c41340ff7b50574b,23332039795132473485275691493028640164,512,303616,79d1b1cc5ad1fb817f57d120fe873ef9398516a4c9eb0d77179a77c12d913aca,88910166a6cde4f7a4986af9f78eb29d9564c204e9501fc447226d96a4000657,1243611136,48.860942167026224,155451392,13,2
2023Q2,inner,temporal,member_sampling,uniform,0,0,available,68300.0,512,False,5,1.244289897510981,0.8515049640060948,1.0,0.228968253968254,0,succeeded,,f44cb082c10f25899968d08c2e139f29365afd077214a49122bd210967ea5bfe,8f6bc823f484f5f214ea0ff6c3fa6b0d460f68bc810d6c93880beea03c7d9506,6424617018973974478003437823121820848,512,303616,4acac3d399ca118a0888dd0773f9696a392cd6f29daec228e856883680440c82,,0,0.7644837090047076,0,0,1
